seqID	BLAST_segment	HMMER_segment	GenBank_segment
A01321	9	9	NULL
AB004250	8	8	NULL
AB005472	7	10	10
AB005473	11	10	10
AB005474	4	10	10
AB008217	10	10	10
AB008230	8	10	10
AB008232	6	10	10
AB008233	10	10	10
AB008234	2	10	10
AB008235	4	10	10
AB008236	11	10	10
AB008237	9	10	10
AB008238	10	10	10
AB008241	2	10	10
AB008242	1	10	10
AB008243	4	10	10
AB008246	7	10	10
AB008247	2	10	10
AB008248	1	10	10
AB008249	7	10	10
AB008250	1	10	10
AB008252	1	10	10
AB008257	1	10	10
AB008258	2	10	10
AB008259	2	10	10
AB008260	4	10	10
AB008261	3	10	10
AB008262	2	10	10
AB008263	10	10	10
AB008273	4	4	4
AB008274	4	4	4
AB008275	3	4	4
AB008276	3	4	4
AB008277	4	4	4
AB008278	4	4	4
AB008279	3	4	4
AB008280	6	3	4
AB008281	3	4	4
AB008282	9	4	4
AB008283	4	4	4
AB008284	6	4	4
AB008285	3	4	4
AB008286	3	4	4
AB008287	1	4	4
AB008288	6	4	4
AB008289	4	3	4
AB008290	3	4	4
AB008291	1	4	4
AB008293	3	4	4
AB008294	3	4	4
AB008295	4	3	4
AB008296	1	4	4
AB008300	3	4	4
AB008301	4	4	4
AB008302	3	4	4
AB008303	1	4	4
AB008304	4	4	4
AB008305	1	4	4
AB008306	3	4	4
AB008307	4	4	4
AB009625	8	8	NULL
AB009626	7	7	NULL
AB009627	10	-	NULL
AB009628	11	11	NULL
AB009629	1	1	NULL
AB009630	2	2	NULL
AB009631	3	3	NULL
AB009632	4	3	NULL
AB009633	5	-	NULL
AB011970	9	9	9
AB011971	9	9	9
AB011972	6	9	9
AB011973	8	9	9
AB012065	9	9	9
AB012066	9	9	9
AB012067	6	9	9
AB012068	8	9	9
AB012069	2	9	9
AB012070	9	9	9
AB012071	4	9	9
AB012072	9	9	9
AB012073	9	9	9
AB012074	4	9	9
AB012075	9	9	9
AB012077	2	9	9
AB012078	1	9	9
AB012079	9	9	9
AB016818	9	9	NULL
AB017917	4	-	4
AB018697	8	9	NULL
AB035708	11	11	11
AB037931	6	6	NULL
AB037932	2	2	NULL
AB039025	2	9	NULL
AB039026	9	9	NULL
AB039027	9	9	NULL
AB039028	1	9	NULL
AB039029	5	9	NULL
AB039030	9	9	NULL
AB039031	9	9	NULL
AB039032	8	9	NULL
AB039033	6	9	NULL
AB039034	9	9	NULL
AB039035	9	9	NULL
AB039935	4	4	NULL
AB039936	3	4	NULL
AB039937	3	4	NULL
AB039938	3	4	NULL
AB039939	4	4	NULL
AB039940	1	4	NULL
AB039941	3	4	NULL
AB039942	4	4	NULL
AB039943	4	3	NULL
AB039944	3	4	NULL
AB040055	6	6	NULL
AB043071	2	10	NULL
AB043072	4	10	NULL
AB043073	10	10	NULL
AB043074	4	10	NULL
AB043075	10	10	NULL
