Codon,alpha,beta,beta-alpha,Posterior Prob Positive Selection,Posterior Prob Negative Selection,Potential Scale Reduction Factor,Effective sample size,Estimated variance of the posterior prob of positive selection,Empirical Bayes Factor
1,0.736908,0.00109618,-0.735811,0.000153712,0.993531993347298,1.01075716465306,322.993538867569,4.63588044193469e-08,0.000863364
2,0.484182,0.00157488,-0.482607,4.00493e-13,0.999999999987971,1.00111402238325,819.532147003225,8.94513246011934e-26,2.24913e-12
3,0.476787,0.0290878,-0.447699,1.28427e-08,0.999999841122084,1.00680199738191,428.600015018059,7.8706410081853e-17,7.21235e-08
4,1.03999,0.00166625,-1.03832,1.7443e-14,0.999999999999889,1.00552198332074,479.762949909666,1.21089466389405e-28,9.79586e-14
5,0.466477,0.0328249,-0.433652,5.59457e-06,0.999976345866618,1.00410324495322,553.259760291546,7.87321067200255e-12,3.14187e-05
6,0.513048,0.0312445,-0.481803,7.82345e-12,0.999999999931843,1.00626279722296,448.73610706006,1.63560043012099e-23,4.39358e-11
7,0.467237,0.0393982,-0.427839,1.73595e-06,0.999987202402084,1.00412538250659,551.937659851834,1.33910484826531e-12,9.74894e-06
8,0.569951,0.00250688,-0.567444,3.88706e-14,0.999999999999435,1.00807242187087,387.71831658689,5.73937751204271e-28,2.18294e-13
9,0.45543,0.0345593,-0.420871,5.59836e-05,0.999783497141416,1.00418568620685,548.368477771932,7.83123442065639e-10,0.000314416
10,0.529856,0.118074,-0.411782,1.18217e-05,0.99996237764425,1.01238002907675,293.559371374176,2.77532486609134e-11,6.63906e-05
11,0.475126,0.00757385,-0.467553,2.96667e-08,0.999999855207171,1.00807783720276,387.561038579808,2.00413060660726e-16,1.66606e-07
12,0.497888,0.10797,-0.389918,4.95284e-06,0.999983404502926,1.00482144359095,513.403477856989,5.49333945241316e-12,2.78148e-05
13,0.478247,0.110585,-0.367662,4.39821e-05,0.99986682572567,1.0237328968573,180.604223319628,3.30366761292724e-10,0.00024701
14,0.657,0.0999968,-0.557003,5.11291e-06,0.999984187644788,1.00326985700695,608.172637741475,5.9013114301273e-12,2.87138e-05
15,0.602237,0.0493812,-0.552855,1.25326e-10,0.99999999922384,1.00244999384782,674.162520575894,6.32105073811777e-21,7.0382e-10
